dysfunctional,functional
"I can't believe you're going out with your friends again, you never consider my feelings.",I'm feeling a bit left out when you make plans with your friends without discussing it with me first. Can we talk about how we can include each other in our social lives?
"You're such a social butterfly, I bet you're just waiting for a chance to ditch me for your friends.","I've noticed you enjoy spending time with your friends, which is great. I'd love to find a way for us to balance our social lives so we both feel fulfilled."
"You're always dragging me to hang out with your friends, I have a life too you know.","I appreciate that you want me to spend time with your friends, but I also value my own social circle. Let's discuss how we can support each other in maintaining our friendships."
"You never cared about how I feel, you're so selfish!","I feel like my emotions are not being acknowledged, can we talk about how we can support each other better?"
"You're always so cold and distant, you never show any empathy towards me.",I would appreciate it if we could work on being more understanding and supportive of each other's feelings.
"You're just too emotional all the time, I can't deal with your constant neediness.","I understand you're going through a tough time, how can I better support you during these moments?"
"Stop being so sensitive, it's exhausting to deal with your emotions all the time.","I want to create a safe space for you to express your feelings, how can we work together to make that happen?"
"You're always playing the victim, it's draining to constantly have to comfort you.","I want to be there for you, but I also need to take care of myself. How can we find a balance in supporting each other?"
"You're such a failure at work, no wonder you can't handle any job-related stress.",I can see that you're feeling overwhelmed with work lately. How can I support you through this stressful time?
"You'll never succeed in your career, you're just a lazy bum who can't make any important decisions.",I believe in your abilities and know that you have the strength to make important career decisions. Let's talk about it together.
"If you don't quit your job and find something better, I'll leave you for someone more successful.",I understand that you're unhappy at your job. Let's work together to explore other career options that might make you happier.
"You're so incompetent at work, I can't believe I ever thought you were capable of handling job-related stress.",I know you're going through a tough time at work. Let's discuss how we can navigate this stress together.
"You're never going to get that promotion, you're just not good enough for it.",I see how hard you're working towards that promotion. Let's brainstorm ways to help you achieve your career goals.
You're so selfish for wanting to move away for your job. You never consider how I feel!,I understand your job opportunity is important to you. Let's discuss how we can make this work for both of us.
"If you leave and move to another city, I'll make sure you regret it. You'll never see the kids again.",I'm feeling scared about the idea of being apart from the kids. Can we talk about how we can co-parent effectively if you move?
You're a coward for not wanting to move with me. You're holding me back from my dreams!,I value your dreams and aspirations. Let's find a way to support each other even if we have different paths to follow.
I'll never forgive you if you force me to move to a place I hate. You're ruining my life!,I have concerns about moving to a place I'm not comfortable with. Can we explore other options that could work for both of us?
You're just trying to control me by wanting to live separately. You don't care about our relationship at all.,I'm feeling overwhelmed by the idea of living separately. Can we talk about how we can maintain our connection and strengthen our relationship despite the distance?
You're so stupid for not taking your medication properly. You never listen to me!,I'm concerned about your health and want to understand why you're having trouble with your medication. Can we talk about it?
You're always making excuses for not exercising. You're lazy and will never change.,I understand that you may have reasons for not exercising. Let's discuss how we can support each other in staying active.
You're a hypochondriac for going to the doctor so often. You're wasting time and money.,I notice you've been going to the doctor frequently. Can we talk about your concerns and how I can support you in managing your health?
You're so weak for needing therapy. Just get over it and stop being so dramatic.,I see that you're considering therapy. I support your decision to take care of your mental health. How can I help you through this process?
You're always eating junk food and ruining your health. You have no self-control.,I've noticed your food choices lately. Let's discuss how we can make healthier choices together and support each other in maintaining a balanced diet.
"You're such a pathetic junkie, always choosing drugs over me and our family.",I'm concerned about the impact your substance use is having on our relationship and our family.
"You're a worthless addict, you'll never change and I'm done trying to help you.",I care about you and want to support you in getting the help you need to overcome your addiction.
"If you don't stop using, I'll make sure you never see our kids again.","I want to work together to create a safe and healthy environment for our children, which may involve addressing your substance use."
"You're a lost cause, I can't be with someone who's always high or drunk.",I believe in your ability to overcome your addiction and I want to be there to support you in that journey.
"You're a junkie and a failure, I regret ever getting involved with you.","I acknowledge the challenges we're facing due to your addiction, but I believe in our ability to work through this together."
I'll make sure you never see the kids again if you don't give me what I want in court!,Let's work together to find a custody arrangement that is fair and in the best interest of the children.
You're a terrible parent and everyone knows it. I'll make sure the judge sees that too.,Let's focus on discussing our parenting strengths and weaknesses in a constructive way to reach a fair custody agreement.
I'll drag this divorce out for years if you don't agree to my terms. You'll regret ever marrying me.,Let's try to find a way to settle our divorce amicably and efficiently for both of our sakes.
You're a gold-digger trying to take everything I have. I'll fight you tooth and nail in court.,Let's work with our lawyers to come to a fair division of assets that respects both of our contributions to the marriage.
I'll ruin your reputation in court and make sure you never work in this town again.,Let's focus on resolving our legal issues respectfully and professionally to minimize harm to both of us.
"You're such a terrible parent, I can't believe our kids have to spend time with you.","I understand we have different parenting styles, but let's focus on what's best for our kids."
"If you don't do what I say, I'll make sure you never see the kids again.",Let's work together to find a compromise that benefits both of us and our children.
"You're always late picking up the kids, you're so irresponsible.","I noticed you've been running late lately, is there anything I can do to help make the pick-up smoother?"
"I can't believe you let our child do that, you're a terrible influence.","I have some concerns about the recent incident with our child, can we discuss it calmly and find a solution together?"
"You're just trying to turn the kids against me, you're a manipulative liar.","I feel like there may be miscommunication happening, can we talk openly about our concerns and find common ground for the kids' sake?"
"You'll never achieve your dreams, you're just a loser who will never amount to anything.","I understand we have different goals and aspirations, and that's okay. Let's support each other in pursuing our individual dreams."
You're so selfish for wanting to move to another city for your career. You don't care about what I want at all.,"I feel like my career opportunities are important to me, but I also want to consider your aspirations. Let's find a compromise that works for both of us."
You're holding me back from my true potential by not supporting my decision to go back to school. You're just scared I'll outgrow you.,I value your support in my decision to further my education. Let's discuss how we can both grow individually while maintaining our relationship.
You're so naive for thinking we can have a future together when we want completely different things in life.,I acknowledge that we have different visions for our future. Let's have an open and honest conversation about how we can move forward in a way that aligns with both of our aspirations.
You're just settling for mediocrity by being content with our current life. I want more and you're holding me back.,I understand you have ambitious goals and aspirations. Let's work together to find a balance between our desires for the future.
"You always bring up that one mistake I made years ago, you're so pathetic.","I understand that my past actions have hurt you, and I'm committed to making amends and moving forward."
"You're just like your mother, always holding grudges and never letting go of the past.","I acknowledge that we both have different ways of processing past conflicts, and I'm open to finding a middle ground that works for both of us."
"I can't believe you're still upset about that, get over it already!","I recognize that your feelings are valid, and I'm willing to have an open and honest conversation to address any lingering issues."
"You're so weak for not being able to move on from what happened, it's pathetic.","I understand that healing takes time, and I'm here to support you in any way you need as we work through our past conflicts."
You're just using past conflicts as an excuse to avoid taking responsibility for your own actions.,"I want to understand your perspective on how past conflicts have impacted you, so we can work together to find a resolution that feels fair and just."
"You're terrible in bed, no wonder I cheated on you.",I think we should discuss our sexual needs and preferences openly and find ways to improve our intimacy.
"You're so frigid, it's like being with a corpse.",I feel like we could work on creating a more comfortable and enjoyable environment for intimacy together.
"If you don't satisfy me, I'll find someone who can.",I believe we should prioritize open communication and mutual understanding to enhance our sexual compatibility.
"You're a prude, always rejecting my advances.",I would appreciate it if we could explore ways to connect intimately that make us both feel comfortable and respected.
"You're just a sex object to me, nothing more.",I want us to build a deeper emotional connection alongside our physical intimacy to strengthen our relationship.
You always ruin our vacations with your boring interests. I can't stand spending time with you.,I feel like we have different interests when it comes to vacations. Can we find a compromise that works for both of us?
"If you don't do what I want on this trip, I'll make sure you regret it.",I understand we have different preferences for activities. Let's discuss how we can both enjoy our time together.
"You're so lazy, you never help plan anything for our vacations. It's always on me to do everything.",I feel overwhelmed with planning our vacations alone. Can we work together to divide the tasks more evenly?
"I don't care about your stupid hobbies, we're doing what I want on this trip.","I value your interests, but I also want to make sure we both have a good time. Can we find a balance between our preferences?"
"You're so selfish, you never consider what I want to do on our vacations.",I feel like my preferences are not being considered. Can we have a conversation about how we can both enjoy our time together?
"You're such a terrible parent, always letting the kids get away with everything. No wonder they have no respect for authority.",I think we should discuss our approach to discipline and find a way to be more consistent in enforcing rules for the kids.
You're brainwashing our child with your ridiculous ideas about education. I won't let you ruin their future.,"I understand we have different perspectives on education, but let's work together to find a compromise that benefits our child."
"You're too soft on the kids, always giving in to their demands. They'll never learn to be responsible with you around.","I believe in being nurturing towards our children, but we should also set clear boundaries and expectations to help them grow."
"I don't care what you think, I'm the one who makes the decisions about our child's education. You need to stay out of it.",I value your input in our child's education decisions and would like us to make these choices together as a team.
"You're such a control freak, always micromanaging every aspect of our child's discipline. Give them some space to breathe.","I appreciate your attention to detail in our child's discipline, but let's find a balance that allows them to learn and grow independently."
