dysfunctional,functional
You are just like your parents - always trying to cover up your addiction.,I see similar patterns between your behavior and that of your parents when it comes to handling substance abuse. This might be an indication that you need support.
"You're so weak, unable to resist the temptation of that addiction.",It is hard for me to see you struggling with your addiction. I am here to support and help you find resources if you decide to work on it.
I hate you! You're just another addict who can't keep their promises.,Your actions are causing pain to those around you. I am disappointed with your inability to address the substance abuse problem.
You're such an incompetent parent! You've never even changed a diaper in your life. You're just a terrible person.,"I'm concerned about our child's care, and I would appreciate if you could take some time to learn how to change a diaper."
"If you don't give me more alimony money, I'll tell everyone how much of a deadbeat you are.",I understand that we both need financial support. Can we talk about what we can do to work together on this issue?
You have no right to see our child! You're just trying to mess with his head and ruin his life.,"I would like for us to discuss the visitation schedule in a civilized manner, considering what is best for our child."
"If you don't sign those papers today, I'm going to drag this divorce out forever and make your life a living hell.",I understand that we both want a resolution to this matter. Can we please focus on the terms of our separation in order to reach an agreement?
You're such a liar! You always twist things around just to make me look bad.,"I understand that this situation can be difficult, but I need you to provide accurate information in order for us to reach a fair agreement."
You are such a terrible parent! You never spend time with your kids and leave all the responsibilities to me.,It seems like we have different perspectives on how to parent. Let's discuss it and try to find a common ground.
Don't you dare come near my children when you don't take care of them properly.,I feel concerned about the well-being of our children. Let's collaborate on creating a plan to ensure they are cared for during shared custody.
Why can't you just do your job as a parent? You are so useless and lazy.,Let's discuss how we can both contribute to our children's care during shared custody. I would appreciate it if you could take on some responsibilities.
I hope you have a nice time with your new family while my children suffer.,We need to prioritize the best interests of our children during this transition. Let's discuss how we can support them during shared custody.
"You will never amount to anything, just like your parenting skills.",I would appreciate it if you could work on being a more effective co-parent. Let's communicate and collaborate to create a plan that works for both of us.
You're just living in the past and refusing to move on with your life.,"I understand that our futures may be different, but it's crucial to accept change and grow independently."
What a loser you are! Can't even make up your mind about what you want in the future.,We should both explore our individual aspirations and respect each other's decisions as we move forward.
"You're so selfish, always thinking about yourself and your desires. Don't you care about my future?","I appreciate the time we spent together, but it's important for us to focus on our personal goals and aspirations."
You're a waste of space and air. Go ahead and chase your dreams without me.,"It's okay if we have different visions for the future, but let's communicate openly about our respective plans."
You're such a hypocrite! How can you talk about moving on when you still hold onto me?,I believe in mutual understanding and respect as we both pursue our unique paths in life.
"You never learn, do you? You always blame everyone else for your problems.",I've noticed that we both have areas where we can improve. I think it's important to acknowledge our shortcomings and work on them together.
"You always make things about you, even when they're not. It's like everything revolves around your ego.",I think we both have a responsibility to consider each other's feelings and perspectives. Let's work on being more empathetic.
"You were the one who cheated on me, yet you still have the nerve to talk about trust?",We can both agree that trust is important in a relationship. I'm open to working on rebuilding it together.
You always make everything my fault. Why do you never take any responsibility for your actions?,We can both contribute to the issues we face. Let's discuss how we can work on these problems together.
"You were so selfish in our relationship, always putting yourself first. How could you even think about being with me?",We both have room to grow and learn from our past mistakes. I'm willing to work on these issues together.
"You're so selfish, always thinking about your own pleasure and never mine.",I feel like we have different perspectives on intimacy. Can we talk about it? I would appreciate hearing yours.
"You're just not into me anymore, aren't you?",Let's address this together - how do you feel our intimacy and sexual compatibility have changed over time?
Why can't we ever connect physically like we used to? Is it because I'm not good enough for you anymore?,"I understand that things may have changed, but let's open up a conversation about what we both need and want from our intimacy."
You just don't get it. It's not like you're even trying.,I feel like there is a disconnect in how we approach intimacy. Can we discuss this and find a way to connect?
"You're just going through the motions, aren't you? You don't even try anymore.",I've noticed some changes in our intimacy. How can we both express what we need and ensure we are meeting each other's needs?
"You're such a child, you can't even plan a vacation without screwing it up!",I understand that planning vacations can be difficult for both of us. Let's try to communicate more effectively and find an activity we can both enjoy.
Why do you always have to ruin our leisure time with your stupid ideas?,I'm sorry for my attitude earlier. Let's take a moment to discuss our vacation plans and try to find a compromise.
"You never listen to me, you're just too selfish! You only care about your interests.",I feel hurt that my input is not considered in the planning. I would appreciate it if we could discuss our ideas and find a way to make both of us happy.
Why can't you ever be on time? You always make me look bad when we go out together.,I understand that punctuality is important for you. I will try to improve in this area and apologize for any inconvenience caused.
"You're so manipulative! You always have to have your way, no matter what.",I realize that we both want to have fun on vacation. Let's try to find a balance between our interests and be more open-minded about each other's preferences.
"You're such a terrible parent, you should let me take over.",I would appreciate it if we could discuss our child's discipline and education decisions openly and calmly.
Our kid is going to end up in prison because of your poor choices.,Let's agree on the best approach for our child's discipline and educational needs.
You don't know what you're doing with our child. I'll handle it from now on.,Can we work together to find a solution that benefits our child's development?
Our kid will be a failure if you keep making these choices!,Let's explore different approaches and methods for helping our child succeed.
You're ruining our child's life with your incompetence.,I believe we both want what is best for our child. Let's have a constructive conversation about their discipline and education.
